Time (s);IRQ;;FSM;
0.00061125;0;0;1;1.25E-06
0.0006125;0;0;1;1.25E-06
0.00061375;0;0;1;1.25E-06
0.000615;0;0;1;1.25E-06
0.00061625;0;0;1;1.25E-06
0.0006175;0;0;1;1.25E-06
0.00061875;0;0;1;1.25E-06
0.00062;0;0;1;1.25E-06
0.00062125;0;0;1;1.25E-06
0.0006225;0;0;1;1.25E-06
0.00062375;0;0;1;1.25E-06
0.000625;0;0;1;1.25E-06
0.00062625;0;0;1;1.25E-06
0.0006275;0;0;1;1.25E-06
0.00062875;0;0;1;1.25E-06
0.00063;0;0;1;1.25E-06
0.00063125;0;0;1;1.25E-06
0.0006325;0;0;1;1.25E-06
0.00063375;0;0;1;1.25E-06
0.000635;0;0;1;1.25E-06
0.00063625;0;0;1;1.25E-06
0.0006375;0;0;1;1.25E-06
0.00063875;0;0;1;1.25E-06
0.00064;0;0;1;1.25E-06
0.00064125;0;0;1;1.25E-06
0.0006425;0;0;1;1.25E-06
0.00064375;0;0;1;1.25E-06
0.000645;0;0;1;1.25E-06
0.00064625;0;0;1;1.25E-06
0.0006475;0;0;1;1.25E-06
0.00064875;0;0;1;1.25E-06
0.00065;0;0;1;1.25E-06
0.00065125;0;0;1;1.25E-06
0.0006525;0;0;1;1.25E-06
0.00065375;0;0;1;1.25E-06
0.000655;0;0;1;1.25E-06
0.00065625;0;0;1;1.25E-06
0.0006575;0;0;1;1.25E-06
0.00065875;0;0;1;1.25E-06
0.00066;0;0;1;1.25E-06
0.00066125;0;0;1;1.25E-06
0.0006625;0;0;1;1.25E-06
0.00066375;0;0;1;1.25E-06
0.000665;0;0;1;1.25E-06
0.00066625;0;0;1;1.25E-06
0.0006675;0;0;1;1.25E-06
0.00066875;0;0;1;1.25E-06
0.00067;0;0;1;1.25E-06
0.00067125;0;0;1;1.25E-06
0.0006725;0;0;1;1.25E-06
0.00067375;0;0;1;1.25E-06
0.000675;0;0;1;1.25E-06
0.00067625;0;0;1;1.25E-06
0.0006775;0;0;1;1.25E-06
0.00067875;0;0;1;1.25E-06
0.00068;0;0;1;1.25E-06
0.00068125;0;0;1;1.25E-06
0.0006825;0;0;1;1.25E-06
0.00068375;0;0;1;1.25E-06
0.000685;0;0;1;1.25E-06
0.00068625;0;0;1;1.25E-06
0.0006875;0;0;1;1.25E-06
0.00068875;0;0;1;1.25E-06
0.00069;0;0;1;1.25E-06
0.00069125;0;0;1;1.25E-06
0.0006925;0;0;1;1.25E-06
0.00069375;0;0;1;1.25E-06
0.000695;0;0;1;1.25E-06
0.00069625;0;0;1;1.25E-06
0.0006975;0;0;1;1.25E-06
0.00069875;0;0;1;1.25E-06
0.0007;0;0;1;1.25E-06
0.00070125;0;0;1;1.25E-06
0.0007025;0;0;1;1.25E-06
0.00070375;0;0;1;1.25E-06
0.000705;0;0;1;1.25E-06
0.00070625;0;0;1;1.25E-06
0.0007075;0;0;1;1.25E-06
0.00070875;0;0;1;1.25E-06
0.00071;1;1.25E-06;1;1.25E-06
0.00071125;1;1.25E-06;1;1.25E-06
0.0007125;1;1.25E-06;1;1.25E-06
0.00071375;1;1.25E-06;1;1.25E-06
0.000715;1;1.25E-06;1;1.25E-06
0.00071625;1;1.25E-06;1;1.25E-06
0.0007175;0;0;1;1.25E-06
0.00071875;0;0;1;1.25E-06
0.00072;0;0;1;1.25E-06
0.00072125;0;0;1;1.25E-06
0.0007225;0;0;1;1.25E-06
0.00072375;0;0;1;1.25E-06
0.000725;0;0;1;1.25E-06
0.00072625;0;0;1;1.25E-06
0.0007275;0;0;1;1.25E-06
0.00072875;0;0;1;1.25E-06
0.00073;0;0;1;1.25E-06
0.00073125;0;0;1;1.25E-06
0.0007325;0;0;1;1.25E-06
0.00073375;0;0;1;1.25E-06
0.000735;0;0;1;1.25E-06
0.00073625;0;0;1;1.25E-06
0.0007375;0;0;1;1.25E-06
0.00073875;0;0;1;1.25E-06
0.00074;0;0;1;1.25E-06
0.00074125;0;0;1;1.25E-06
0.0007425;0;0;1;1.25E-06
0.00074375;0;0;1;1.25E-06
0.000745;0;0;1;1.25E-06
0.00074625;0;0;1;1.25E-06
0.0007475;0;0;1;1.25E-06
0.00074875;0;0;1;1.25E-06
0.00075;0;0;1;1.25E-06
0.00075125;0;0;1;1.25E-06
0.0007525;0;0;1;1.25E-06
0.00075375;0;0;1;1.25E-06
0.000755;0;0;1;1.25E-06
0.00075625;0;0;1;1.25E-06
0.0007575;0;0;1;1.25E-06
0.00075875;0;0;1;1.25E-06
0.00076;0;0;1;1.25E-06
0.00076125;0;0;1;1.25E-06
0.0007625;0;0;1;1.25E-06
0.00076375;0;0;1;1.25E-06
0.000765;0;0;1;1.25E-06
0.00076625;0;0;1;1.25E-06
0.0007675;0;0;1;1.25E-06
0.00076875;0;0;1;1.25E-06
0.00077;0;0;1;1.25E-06
0.00077125;0;0;1;1.25E-06
0.0007725;0;0;1;1.25E-06
0.00077375;0;0;1;1.25E-06
0.000775;0;0;1;1.25E-06
0.00077625;0;0;1;1.25E-06
0.0007775;0;0;1;1.25E-06
0.00077875;0;0;1;1.25E-06
0.00078;0;0;1;1.25E-06
0.00078125;0;0;1;1.25E-06
0.0007825;0;0;1;1.25E-06
0.00078375;0;0;1;1.25E-06
0.000785;0;0;1;1.25E-06
0.00078625;0;0;1;1.25E-06
0.0007875;0;0;1;1.25E-06
0.00078875;0;0;1;1.25E-06
0.00079;0;0;1;1.25E-06
0.00079125;0;0;1;1.25E-06
0.0007925;0;0;1;1.25E-06
0.00079375;0;0;1;1.25E-06
0.000795;0;0;1;1.25E-06
0.00079625;0;0;1;1.25E-06
0.0007975;0;0;1;1.25E-06
0.00079875;0;0;1;1.25E-06
0.0008;0;0;1;1.25E-06
0.00080125;0;0;1;1.25E-06
0.0008025;0;0;1;1.25E-06
0.00080375;0;0;1;1.25E-06
0.000805;0;0;1;1.25E-06
0.00080625;0;0;1;1.25E-06
0.0008075;0;0;1;1.25E-06
0.00080875;0;0;1;1.25E-06
0.00081;0;0;1;1.25E-06
0.00081125;0;0;1;1.25E-06
0.0008125;0;0;1;1.25E-06
0.00081375;0;0;1;1.25E-06
0.000815;0;0;1;1.25E-06
0.00081625;0;0;1;1.25E-06
0.0008175;0;0;1;1.25E-06
0.00081875;0;0;1;1.25E-06
0.00082;0;0;1;1.25E-06
0.00082125;0;0;1;1.25E-06
0.0008225;0;0;1;1.25E-06
0.00082375;0;0;1;1.25E-06
0.000825;0;0;1;1.25E-06
0.00082625;0;0;1;1.25E-06
0.0008275;0;0;1;1.25E-06
0.00082875;0;0;1;1.25E-06
0.00083;0;0;1;1.25E-06
0.00083125;0;0;1;1.25E-06
0.0008325;0;0;1;1.25E-06
0.00083375;0;0;1;1.25E-06
0.000835;0;0;1;1.25E-06
0.00083625;0;0;1;1.25E-06
0.0008375;0;0;1;1.25E-06
0.00083875;0;0;1;1.25E-06
0.00084;0;0;1;1.25E-06
0.00084125;0;0;1;1.25E-06
0.0008425;0;0;1;1.25E-06
0.00084375;0;0;1;1.25E-06
0.000845;0;0;1;1.25E-06
0.00084625;0;0;1;1.25E-06
0.0008475;0;0;1;1.25E-06
0.00084875;0;0;1;1.25E-06
0.00085;0;0;1;1.25E-06
0.00085125;0;0;1;1.25E-06
0.0008525;0;0;1;1.25E-06
0.00085375;0;0;1;1.25E-06
0.000855;0;0;1;1.25E-06
0.00085625;0;0;1;1.25E-06
0.0008575;0;0;1;1.25E-06
