Time (s);IRQ;;FSM;
-0.02352195;0;0;1;3.13E-06
-0.02351882;0;0;1;3.13E-06
-0.02351569;0;0;1;3.13E-06
-0.02351256;0;0;1;3.13E-06
-0.02350943;0;0;1;3.13E-06
-0.0235063;0;0;1;3.13E-06
-0.02350317;0;0;1;3.13E-06
-0.02350004;0;0;1;3.13E-06
-0.02349691;0;0;1;3.13E-06
-0.02349378;0;0;1;3.13E-06
-0.02349065;0;0;1;3.13E-06
-0.02348752;0;0;1;3.13E-06
-0.02348439;0;0;1;3.13E-06
-0.02348126;0;0;1;3.13E-06
-0.02347813;0;0;1;3.13E-06
-0.023475;0;0;1;3.13E-06
